Numero de documentos (tweets) del corpus: 18046
Número de palabras del corpus: 320685
Palabra: asshats Freq: 3 LogProb: -11.60376810440312
Palabra: asshole Freq: 14 LogProb: -10.063323063455972
Palabra: assignment Freq: 7 LogProb: -10.756470244015917
Palabra: assist Freq: 33 LogProb: -9.205872831604749
Palabra: assistance Freq: 69 LogProb: -8.46827388847397
Palabra: assistant Freq: 21 LogProb: -9.657857955347806
Palabra: associate Freq: 42 LogProb: -8.96471077478786
Palabra: association Freq: 26 LogProb: -9.444283855049747
Palabra: assume Freq: 18 LogProb: -9.812008635175065
Palabra: assumption Freq: 5 LogProb: -11.092942480637129
Palabra: assurance Freq: 5 LogProb: -11.092942480637129
Palabra: assure Freq: 47 LogProb: -8.852232791361171
Palabra: asthma Freq: 7 LogProb: -10.756470244015917
Palabra: asthmatic Freq: 5 LogProb: -11.092942480637129
Palabra: astound Freq: 3 LogProb: -11.60376810440312
Palabra: astronomical Freq: 7 LogProb: -10.756470244015917
Palabra: asymptomatic Freq: 13 LogProb: -10.137431035609692
Palabra: at Freq: 193 LogProb: -7.439690204166344
Palabra: athabasca Freq: 1 LogProb: -12.70238039307123
Palabra: athlete Freq: 11 LogProb: -10.30448512027286
Palabra: atlanta Freq: 10 LogProb: -10.399795300077184
Palabra: atlantic Freq: 6 LogProb: -10.910620923843174
Palabra: atleast Freq: 8 LogProb: -10.622938851391394
Palabra: atm Freq: 24 LogProb: -9.524326562723283
Palabra: atmosphere Freq: 5 LogProb: -11.092942480637129
Palabra: atta Freq: 4 LogProb: -11.31608603195134
Palabra: attach Freq: 6 LogProb: -10.910620923843174
Palabra: attached Freq: 7 LogProb: -10.756470244015917
Palabra: attachment Freq: 3 LogProb: -11.60376810440312
Palabra: attack Freq: 8 LogProb: -10.622938851391394
Palabra: attacking Freq: 1 LogProb: -12.70238039307123
Palabra: attempt Freq: 28 LogProb: -9.370175882896026
Palabra: attend Freq: 19 LogProb: -9.75794141390479
Palabra: attendant Freq: 22 LogProb: -9.611337939712914
Palabra: attention Freq: 35 LogProb: -9.147032331581816
Palabra: attentive Freq: 4 LogProb: -11.31608603195134
Palabra: attitude Freq: 29 LogProb: -9.335084563084756
Palabra: attorney Freq: 32 LogProb: -9.236644490271503
Palabra: attract Freq: 9 LogProb: -10.50515581573501
Palabra: attractive Freq: 7 LogProb: -10.756470244015917
Palabra: attribute Freq: 3 LogProb: -11.60376810440312
Palabra: au Freq: 11 LogProb: -10.30448512027286
Palabra: auction Freq: 5 LogProb: -11.092942480637129
Palabra: aud Freq: 6 LogProb: -10.910620923843174
