Numero de documentos (tweets) del corpus: 15398
Número de palabras del corpus: 272513
Palabra: approval Freq: 1 LogProb: -12.543672817221962
Palabra: approve Freq: 25 LogProb: -9.324796992353761
Palabra: approved Freq: 2 LogProb: -11.850525636662017
Palabra: approx Freq: 4 LogProb: -11.157378456102071
Palabra: approximately Freq: 8 LogProb: -10.464231275542126
Palabra: apps Freq: 24 LogProb: -9.365618986874017
Palabra: apr Freq: 5 LogProb: -10.934234904787862
Palabra: april Freq: 101 LogProb: -7.928552300380702
Palabra: aprn Freq: 2 LogProb: -11.850525636662017
Palabra: apron Freq: 3 LogProb: -11.445060528553853
Palabra: aquarium Freq: 3 LogProb: -11.445060528553853
Palabra: ar Freq: 11 LogProb: -10.145777544423591
Palabra: arab Freq: 10 LogProb: -10.241087724227917
Palabra: arabia Freq: 85 LogProb: -8.101021560731645
Palabra: arbitrage Freq: 2 LogProb: -11.850525636662017
Palabra: are Freq: 139 LogProb: -7.6091988840912705
Palabra: area Freq: 145 LogProb: -7.566939074801388
Palabra: arent Freq: 5 LogProb: -10.934234904787862
Palabra: argentina Freq: 4 LogProb: -11.157378456102071
Palabra: argo Freq: 6 LogProb: -10.751913347993908
Palabra: arguably Freq: 3 LogProb: -11.445060528553853
Palabra: argue Freq: 29 LogProb: -9.176376987235487
Palabra: argument Freq: 6 LogProb: -10.751913347993908
Palabra: arise Freq: 9 LogProb: -10.346448239885742
Palabra: arizona Freq: 11 LogProb: -10.145777544423591
Palabra: arkansas Freq: 8 LogProb: -10.464231275542126
Palabra: arm Freq: 21 LogProb: -9.49915037949854
Palabra: armed Freq: 6 LogProb: -10.751913347993908
Palabra: army Freq: 29 LogProb: -9.176376987235487
Palabra: around Freq: 323 LogProb: -6.766020493999306
Palabra: arrange Freq: 9 LogProb: -10.346448239885742
Palabra: arrangement Freq: 5 LogProb: -10.934234904787862
Palabra: arrest Freq: 103 LogProb: -7.908943828992326
Palabra: arrested Freq: 8 LogProb: -10.464231275542126
Palabra: arrival Freq: 8 LogProb: -10.464231275542126
Palabra: arrive Freq: 27 LogProb: -9.247835951217633
Palabra: arrogant Freq: 5 LogProb: -10.934234904787862
Palabra: arrow Freq: 5 LogProb: -10.934234904787862
Palabra: arrows Freq: 3 LogProb: -11.445060528553853
Palabra: arse Freq: 3 LogProb: -11.445060528553853
Palabra: arsehole Freq: 16 LogProb: -9.77108409498218
Palabra: art Freq: 6 LogProb: -10.751913347993908
Palabra: arthritis Freq: 3 LogProb: -11.445060528553853
Palabra: article Freq: 69 LogProb: -8.309566312624703
Palabra: artificial Freq: 7 LogProb: -10.597762668166649
Palabra: artificially Freq: 5 LogProb: -10.934234904787862
Palabra: artisanal Freq: 2 LogProb: -11.850525636662017
Palabra: artist Freq: 10 LogProb: -10.241087724227917
Palabra: artwork Freq: 1 LogProb: -12.543672817221962
Palabra: as Freq: 425 LogProb: -6.491583648297545
Palabra: asap Freq: 11 LogProb: -10.145777544423591
Palabra: asda Freq: 31 LogProb: -9.109685612736817
Palabra: ashamed Freq: 42 LogProb: -8.806003198938594
Palabra: ashley Freq: 14 LogProb: -9.904615487606703
Palabra: asia Freq: 26 LogProb: -9.28557627920048
Palabra: asian Freq: 63 LogProb: -8.400538090830429
Palabra: aside Freq: 16 LogProb: -9.77108409498218
Palabra: ask Freq: 273 LogProb: -6.934201022037002
Palabra: asking Freq: 3 LogProb: -11.445060528553853
Palabra: asks Freq: 3 LogProb: -11.445060528553853
Palabra: asleep Freq: 2 LogProb: -11.850525636662017
Palabra: aspect Freq: 7 LogProb: -10.597762668166649
Palabra: ass Freq: 10 LogProb: -10.241087724227917
Palabra: assam Freq: 2 LogProb: -11.850525636662017
Palabra: assault Freq: 16 LogProb: -9.77108409498218
Palabra: assess Freq: 12 LogProb: -10.058766167433962
Palabra: assessment Freq: 5 LogProb: -10.934234904787862
Palabra: asset Freq: 32 LogProb: -9.077936914422235
Palabra: asshats Freq: 3 LogProb: -11.445060528553853
Palabra: asshole Freq: 35 LogProb: -8.988324755732549
Palabra: assignment Freq: 1 LogProb: -12.543672817221962
Palabra: assist Freq: 17 LogProb: -9.710459473165747
Palabra: assistance Freq: 37 LogProb: -8.932754904577738
Palabra: assistant Freq: 9 LogProb: -10.346448239885742
Palabra: associate Freq: 30 LogProb: -9.142475435559806
Palabra: association Freq: 13 LogProb: -9.978723459760426
Palabra: assume Freq: 13 LogProb: -9.978723459760426
Palabra: assumption Freq: 4 LogProb: -11.157378456102071
Palabra: assurance Freq: 4 LogProb: -11.157378456102071
Palabra: assure Freq: 15 LogProb: -9.835622616119752
Palabra: asthma Freq: 19 LogProb: -9.599233838055522
Palabra: asthmatic Freq: 4 LogProb: -11.157378456102071
Palabra: astound Freq: 3 LogProb: -11.445060528553853
Palabra: astronomical Freq: 5 LogProb: -10.934234904787862
Palabra: asymptomatic Freq: 14 LogProb: -9.904615487606703
Palabra: at Freq: 142 LogProb: -7.587845759620701
Palabra: athabasca Freq: 5 LogProb: -10.934234904787862
Palabra: athlete Freq: 3 LogProb: -11.445060528553853
Palabra: atlanta Freq: 5 LogProb: -10.934234904787862
Palabra: atlantic Freq: 3 LogProb: -11.445060528553853
Palabra: atleast Freq: 5 LogProb: -10.934234904787862
Palabra: atm Freq: 16 LogProb: -9.77108409498218
Palabra: atmosphere Freq: 1 LogProb: -12.543672817221962
Palabra: atta Freq: 8 LogProb: -10.464231275542126
Palabra: attach Freq: 7 LogProb: -10.597762668166649
Palabra: attached Freq: 3 LogProb: -11.445060528553853
Palabra: attachment Freq: 5 LogProb: -10.934234904787862
Palabra: attack Freq: 72 LogProb: -8.267006698205906
Palabra: attacking Freq: 5 LogProb: -10.934234904787862
Palabra: attempt Freq: 45 LogProb: -8.737010327451642
Palabra: attend Freq: 19 LogProb: -9.599233838055522
Palabra: attendant Freq: 9 LogProb: -10.346448239885742
Palabra: attention Freq: 33 LogProb: -9.047165255755482
Palabra: attentive Freq: 2 LogProb: -11.850525636662017
Palabra: attitude Freq: 21 LogProb: -9.49915037949854
Palabra: attorney Freq: 63 LogProb: -8.400538090830429
Palabra: attract Freq: 5 LogProb: -10.934234904787862
Palabra: attractive Freq: 2 LogProb: -11.850525636662017
Palabra: attribute Freq: 6 LogProb: -10.751913347993908
Palabra: au Freq: 7 LogProb: -10.597762668166649
Palabra: auction Freq: 12 LogProb: -10.058766167433962
Palabra: aud Freq: 2 LogProb: -11.850525636662017
Palabra: audience Freq: 7 LogProb: -10.597762668166649
Palabra: audio Freq: 6 LogProb: -10.751913347993908
Palabra: audit Freq: 1 LogProb: -12.543672817221962
